fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.119,other,9.0,,1.06,0.1,,,,,,0.81,2,2,1,4,1,,2,2954862,40653,2475761,17477201,1570,20108,15622,1132,,2473,2013,110,,6687,28050835,7259500,6080154,2023-02-11,https://covidactnow.org/us/georgia-ga,0.684,0.573,0,16976477,3,2676908,0.252,63.0,,,,,,,,,0.056,,771,,7.3,,0,1037241,0.098
15,US,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.074,other,7.4,,0.99,0.13,,,,,,0.72,1,1,1,4,1,,1,369367,1802,293797,3697412,300,2527,2037,66,,218,156,8,,736,,,,2023-02-11,https://covidactnow.org/us/hawaii-hi,,,0,,2,,,52.0,,,,,,,,,0.026,,93,,6.6,,0,,
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,,other,6.9,,1.09,0.1,,,,,,0.7,1,4,1,4,1,,0,897136,10627,713437,4928955,403,6790,4650,114,,540,380,14,,1498,9069595,2228478,2030090,2023-02-11,https://covidactnow.org/us/iowa-ia,0.706,0.643,0,6080115,1,1165743,0.369,48.1,,,,,,,,,0.017,,162,,5.1,,0,597153,0.189
16,US,ID,,state,,iso1:us#iso2:us-id,,1787065,0.107,other,6.9,,1.17,0.14,,,,,,0.75,2,2,1,4,2,,1,516693,5392,650007,3039097,250,2855,2098,60,,270,202,8,,26,4637950,1141888,1008365,2023-02-11,https://covidactnow.org/us/idaho-id,0.639,0.564,0,2863847,3,489699,0.274,48.3,,,,,,,,,0.021,,95,,5.3,,0,232918,0.13
17,US,IL,,state,,iso1:us#iso2:us-il,,12671821,0.054,other,11.5,,1.04,0.1,,,,,,0.66,2,1,2,4,1,,0,4047219,41261,3651037,50939989,3800,26473,18989,810,,2939,1929,86,,10098,37368455,10028100,9031844,2023-02-11,https://covidactnow.org/us/illinois-il,0.791,0.713,81,26634263,2,5140156,0.406,80.7,,,,,,,,,0.031,,869,,6.9,,0,2423231,0.191
18,US,IN,,state,,iso1:us#iso2:us-in,,6732219,0.127,other,9.4,,1.16,0.1,,,,,,0.67,2,2,1,4,2,,0,2033483,25959,1919757,13244021,1600,14676,10652,377,,1984,1323,44,,4420,18377490,4332595,3884719,2023-02-11,https://covidactnow.org/us/indiana-in,0.644,0.577,57,11089583,3,1976439,0.294,65.7,,,,,,,,,0.026,,470,,7.0,,0,680495,0.101
20,US,KS,,state,,iso1:us#iso2:us-ks,,2913314,0.13,other,9.6,,1.08,0.1,,,,,,0.76,2,2,1,4,1,,1,930452,10101,757805,5335392,359,7648,4638,156,,756,578,27,,1939,8127525,2219536,1901427,2023-02-11,https://covidactnow.org/us/kansas-ks,0.762,0.653,0,5337324,3,931339,0.32,67.1,,,,,,,,,0.02,,192,,6.6,,0,435540,0.149
21,US,KY,,state,,iso1:us#iso2:us-ky,,4467673,0.108,other,17.8,,1.05,0.1,,,,,,0.79,2,2,2,4,1,,1,1697646,18020,1437705,9633068,1240,10227,8070,338,,1141,905,45,,5556,11849915,3074760,2662116,2023-02-11,https://covidactnow.org/us/kentucky-ky,0.688,0.596,0,7460638,3,1288938,0.289,124.4,,,,,,,,,0.033,,361,,8.1,,0,529336,0.118
22,US,LA,,state,,iso1:us#iso2:us-la,,4648794,0.127,other,21.4,,1.25,0.1,,,,,,0.78,2,2,2,4,2,,1,1555480,18624,1087039,10833423,800,12586,9159,357,,1497,1164,64,,6972,10109460,2917505,2556431,2023-02-11,https://covidactnow.org/us/louisiana-la,0.628,0.55,0,6915261,3,1102855,0.237,150.0,,,,,,,,,0.028,,498,,10.7,,1,324903,0.07
25,US,MA,,state,,iso1:us#iso2:us-ma,,6892503,0.078,other,13.4,,1.07,0.1,,,,,,0.83,2,1,2,4,1,,2,2206312,23901,2135610,44989718,2350,16070,14040,679,,1261,1044,71,,5566,23037230,7354720,5804649,2023-02-11,https://covidactnow.org/us/massachusetts-ma,0.95,0.842,130,17991517,2,3279811,0.476,93.7,,,,,,,,,0.042,,780,,11.3,,1,2009346,0.292
