fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
21860,US,,,cbsa,,iso1:us#cbsa:21860,,19683,0.089,other,7.3,,1.06,0.82,,,,1,1,1,4,1,,4,6619,75,,,,25,14,0,,,,,,10,,11959,11252,2023-02-11,,0.608,0.572,2,,2,6978,0.355,50.8,,,58,17,0,3,,,0.005,,6,6,0.0,,0,3453,0.175
21900,US,,,cbsa,,iso1:us#cbsa:21900,,56072,0.118,other,19.1,,0.96,0.45,,,,2,2,2,4,1,,4,20206,207,,,,5,2,0,,,,,,19,,36505,33001,2023-02-11,,0.651,0.589,1,,3,17713,0.316,133.8,,,875,800,29,99,86,6,0.034,,7,28,13.2,,1,6549,0.117
21980,US,,,cbsa,,iso1:us#cbsa:21980,,24909,0.036,other,3.4,,0.98,0.98,,,0.14,1,1,1,4,1,,0,7592,123,,,,25,19,1,,4,0,0,,0,,16196,14006,2023-02-11,,0.65,0.562,0,,1,6076,0.244,24.1,,,237,111,28,28,10,3,0.018,,6,25,4.6,,0,2430,0.098
22020,US,,,cbsa,,iso1:us#cbsa:22020,,246145,0.148,other,16.4,,0.95,0.26,,,,2,2,2,4,1,,4,94220,472,,,,,,,,,,,,59,,190275,159462,2023-02-11,,0.773,0.648,1,,3,79658,0.324,115.0,,,1662,1249,28,272,132,1,0.025,,,38,8.7,,0,47966,0.195
22060,US,,,cbsa,,iso1:us#cbsa:22060,,66972,0.08,other,8.1,,0.96,0.66,,,,1,1,1,4,1,,4,20625,206,,,,19,19,2,,,,,,38,,46899,43922,2023-02-11,,0.7,0.656,2,,2,27068,0.404,56.7,,,19,19,2,,,,0.051,,8,8,1.5,,0,16204,0.242
22100,US,,,cbsa,,iso1:us#cbsa:22100,,67215,0.586,other,9.1,,0.86,0.62,,,0.46,3,3,1,4,0,,0,23251,328,,,,72,37,2,,8,3,0,,0,,34260,30276,2023-02-11,,0.51,0.45,0,,3,13127,0.195,64.0,,,5435,4779,208,697,626,24,0.043,,5,102,11.3,,1,5833,0.087
22140,US,,,cbsa,,iso1:us#cbsa:22140,,123958,0.057,other,5.1,,0.79,0.58,,,0.74,1,1,1,4,0,,1,52137,862,,,,172,137,3,,23,17,0,,10,,96436,82590,2023-02-11,,0.778,0.666,0,,1,,,35.5,,,304,165,9,26,17,2,0.019,,9,11,4.6,,0,,
22180,US,,,cbsa,,iso1:us#cbsa:22180,,526719,0.18,other,20.6,,1.06,0.13,,,,2,2,2,4,1,,4,176415,1292,,,,763,637,32,,88,73,8,,0,,326760,290276,2023-02-11,,0.62,0.551,0,,3,133441,0.253,143.9,,,2094,1788,101,292,247,19,0.043,,51,74,7.3,,0,,
22220,US,,,cbsa,,iso1:us#cbsa:22220,,534904,0.077,other,5.6,,0.83,0.26,,,0.78,1,1,1,4,0,,1,161979,1759,,,,610,560,12,,101,79,5,,18,,380473,313675,2023-02-11,,0.711,0.586,0,,1,141848,0.265,39.1,,,1920,1735,36,318,241,17,0.022,,12,36,3.8,,0,69118,0.129
22260,US,,,cbsa,,iso1:us#cbsa:22260,,58746,0.13,other,13.1,,0.94,0.55,,,0.38,2,2,2,4,1,,0,16181,188,,,,59,44,1,,3,1,0,,54,,34147,31301,2023-02-11,,0.581,0.533,1,,3,21125,0.36,91.9,,,69,54,1,3,1,0,0.026,,5,5,4.6,,0,12079,0.206
22280,US,,,cbsa,,iso1:us#cbsa:22280,,57510,0.184,other,6.7,,0.9,0.71,,,,2,2,1,4,0,,4,12175,227,,,,14,1,0,,3,2,,,0,,29054,25234,2023-02-11,,0.505,0.439,0,,3,10194,0.177,46.9,,,237,111,28,28,10,3,0.018,,5,25,4.6,,0,5334,0.093
22300,US,,,cbsa,,iso1:us#cbsa:22300,,75783,0.026,other,7.0,,0.8,0.69,,,0.58,1,0,1,4,0,,0,21114,295,,,,150,116,2,,52,30,0,,37,,42671,39695,2023-02-11,,0.563,0.524,0,,1,21788,0.288,48.8,,,155,121,4,53,31,1,0.016,,14,6,5.3,,0,9462,0.125
22340,US,,,cbsa,,iso1:us#cbsa:22340,,16700,0.188,other,12.0,,1.01,0.96,,,0.63,2,2,2,4,1,,0,4994,125,,,,46,20,1,,5,3,1,,0,,7626,6663,2023-02-11,,0.457,0.399,0,,3,2455,0.147,83.8,,,262,180,6,25,18,1,0.014,,7,7,9.4,,0,656,0.039
22380,US,,,cbsa,,iso1:us#cbsa:22380,,143476,0.095,other,6.6,,0.99,0.59,,,0.91,1,1,1,4,1,,3,52421,524,,,,228,228,5,,32,29,1,,0,,137133,118911,2023-02-11,,0.95,0.829,0,,2,63928,0.446,46.0,,,5443,4329,121,636,459,4,0.021,,7,14,5.0,,0,27876,0.194
22420,US,,,cbsa,,iso1:us#cbsa:22420,,405813,0.098,other,7.1,,1.01,0.27,,,0.84,1,1,1,4,1,,2,124370,2001,,,,591,497,15,,107,90,4,,0,,216049,209120,2023-02-11,,0.532,0.515,0,,2,115679,0.285,50.0,,,705,547,16,117,97,4,0.024,,11,11,4.7,,0,26470,0.065
22500,US,,,cbsa,,iso1:us#cbsa:22500,,204911,0.141,other,11.9,,0.89,0.27,,,0.77,2,2,2,4,0,,1,72410,1029,,,,884,728,32,,102,78,4,,0,,129449,112421,2023-02-11,,0.632,0.549,0,,3,49436,0.241,83.0,,,1250,1098,46,128,110,4,0.035,,47,46,13.0,,1,15905,0.078
22520,US,,,cbsa,,iso1:us#cbsa:22520,,147970,0.1,other,15.8,,1.0,0.25,,,0.66,2,1,2,4,1,,0,51113,695,,,,559,402,18,,58,38,3,,0,,87501,72230,2023-02-11,,0.591,0.488,0,,3,29280,0.198,110.8,,,1308,890,36,136,76,7,0.032,,30,28,6.9,,0,9723,0.066
22540,US,,,cbsa,,iso1:us#cbsa:22540,,103403,0.097,other,11.2,,0.95,0.44,,,0.5,2,1,2,4,1,,0,38979,315,,,,129,83,4,,18,9,0,,15,,65022,59762,2023-02-11,,0.629,0.578,0,,2,35366,0.342,78.3,,,537,352,25,60,35,2,0.051,,7,28,10.6,,1,16897,0.163
22580,US,,,cbsa,,iso1:us#cbsa:22580,,67029,0.105,other,14.3,,0.91,0.36,,,0.37,2,2,2,4,1,,0,21574,426,,,,125,45,1,,10,3,0,,0,,30441,28538,2023-02-11,,0.454,0.426,0,,3,15376,0.229,100.0,,,918,700,41,63,50,2,0.042,,6,22,5.0,,0,,
